,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
150,Elektra Luxx,2010,R,100,Comedy,Sebastian Gutierrez,"Sebastian Gutierrez, Sebastian Gutierrez (characters)","Joseph Gordon-Levitt, Carla Gugino, Ermahn Ospina, Jake Hames",Life for porn actress Elektra Luxx gets turned upside down when she finds out she's pregnant.,English,USA,Nomination,50.0,5.1,6666,1,7308.0,Samuel Goldwyn Films,29.0,small,0
151,Helena from the Wedding,2010,Not Rated,89,Comedy,Joseph Infantolino,Joseph Infantolino,"Dagmara Dominczyk, Paul Fitzgerald, Dominic Fumusa, Jessica Hecht","Newlyweds Alex and Alice host a New Year's Eve party for their closest friends at a remote cabin in the mountains. However, when an unexpected guest shows up, the group's facades begin to crumble.",English,USA,Nomination,49.0,4.7,339,1,0.0,Film Movement,7.0,small,0
153,The Happy Poet,2010,Not Rated,85,Comedy,Paul Gordon,Paul Gordon,"Paul Gordon, Ricardo G. Lerma, Sam Wainwright Douglas, Troy Anthony Miller","A poet who starts a health-conscious food stand finds support from his friends, as well as a potential love match with one of his customers. But will unexpected complications jeopardize his dreams of a hot dog-free future?",English,USA,Other Win,49.0,6.2,220,1,0.0,Cinema Libre,1.0,small,0
154,MacGruber,2010,R,90,Action,Jorma Taccone,"Will Forte, John Solomon, Jorma Taccone","Will Forte, Kristen Wiig, Ryan Phillippe, Val Kilmer","Former special operative MacGruber is called back into action to take down his arch-enemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, D.C.","English, Russian",USA,Nomination,43.0,5.5,40828,1,8000000.0,Universal/Rogue Pictures,1.0,small,0
155,Tiny Furniture,2010,Not Rated,98,Comedy,Lena Dunham,Lena Dunham,"Lena Dunham, Laurie Simmons, Grace Dunham, Rachel Howe",About a recent college grad who returns home while she tries to figure out what to do with her life.,English,USA,Other Win,72.0,6.2,13542,1,389334.0,IFC,3.0,small,1
157,Hot Tub Time Machine,2010,R,101,Comedy,Steve Pink,"Josh Heald (screenplay), Sean Anders (screenplay), John Morris (screenplay), Josh Heald (story)","John Cusack, Clark Duke, Craig Robinson, Rob Corddry","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born.","English, Russian",USA,Nomination,63.0,6.4,156889,1,48925682.0,MGM,8.0,small,1
158,Black Butterfly,2017,R,93,Mystery,Brian Goodman,"Justin Stanley (screenplay by), Marc Frydman (screenplay by), Hervé Korian (based on the French film ""Papillon Noir"" written by)","Antonio Banderas, Jonathan Rhys Meyers, Piper Perabo, Vincent Riotta","A hot altercation followed by a gallant rescue gets a lonely screenwriter a front-row seat to a tense backwoods drama when he decides to take in an ex-con drifter. Now, he is bent on making his host a better man. Will this nightmare end?",English,"Spain, USA, Italy",Other Win,43.0,6.1,11071,1,0.0,Lionsgate Premiere,15.0,small,0
159,How to Train Your Dragon,2010,PG,98,Animation,"Dean DeBlois, Chris Sanders","William Davies (screenplay by), Dean DeBlois (screenplay by), Chris Sanders (screenplay by), Cressida Cowell (based on the book by), Marc Hyman (collaborating writer)","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",English,USA,Oscar Win,74.0,8.1,630443,1,216900000.0,Paramount/DWA,1.0,small,1
160,Diary of a Wimpy Kid,2010,PG,94,Comedy,Thor Freudenthal,"Jackie Filgo (screenplay), Jeff Filgo (screenplay), Gabe Sachs (screenplay), Jeff Judah (screenplay), Jeff Kinney (book)","Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn","The adventures of a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.","English, German","USA, UK",Other Win,56.0,6.2,39950,1,64001297.0,20th Century Fox,133.0,big,0
162,Repo Men,2010,R,111,Action,Miguel Sapochnik,"Eric Garcia (screenplay), Garrett Lerner (screenplay), Eric Garcia (novel)","Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber","Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.","English, Spanish","Canada, USA",Nomination,32.0,6.3,97673,1,13156255.0,Universal Studios,13.0,small,0
165,The Perfect Game,2010,PG,118,Comedy,William Dear,"W. William Winokur, W. William Winokur (book)","Jake T. Austin, Jansen Panettiere, Moises Arias, Ryan Ochoa","Based on a true story, a group of boys from Monterrey, Mexico who became the first non-U.S. team to win the Little League World Series.","English, Spanish, Latin","Canada, USA, Mexico",,42.0,7.0,3135,1,1000000.0,Visio Entertainment,1.0,small,0
167,Why Did I Get Married Too?,2010,PG-13,121,Comedy,Tyler Perry,Tyler Perry (screenplay),"Tyler Perry, Janet Jackson, Jill Scott, Sharon Leal","Four couples find themselves struggling to save their marriages once again on their annual marriage retreat, while each of them battle through financial, physical, mental, and emotional issues.",English,USA,Other Win,43.0,4.6,8792,1,48520000.0,Lionsgate,58.0,big,0
170,Nanny McPhee Returns,2010,PG,109,Comedy,Susanna White,"Emma Thompson, Christianna Brand (characters)","Maggie Gyllenhaal, Oscar Steer, Asa Butterfield, Lil Woods","Nanny McPhee arrives to help a harried young mother who is trying to run the family farm while her husband is away at war, though she uses her magic to teach the woman's children and their two spoiled cousins five new lessons.",English,"UK, France, USA",Other Win,52.0,6.1,25989,1,28995450.0,Universal Studios,13.0,small,0
171,Clash of the Titans,2010,PG-13,106,Action,Louis Leterrier,"Travis Beacham (screenplay), Phil Hay (screenplay), Matt Manfredi (screenplay), Beverley Cross","Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng","Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth.",English,"USA, UK, Australia",Other Win,39.0,5.8,261625,1,163100000.0,Warner Bros.,23.0,small,0
173,6 Souls,2010,R,112,Horror,"Måns Mårlind, Björn Stein",Michael Cooney,"Julianne Moore, Jonathan Rhys Meyers, Jeffrey DeMunn, Frances Conroy",A forensic psychiatrist discovers that all but one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.,English,USA,,28.0,6.1,31032,1,0.0,Radius-TWC,15.0,small,0
182,"Lebanon, Pa.",2010,PG-13,100,Drama,Ben Hickernell,Ben Hickernell,"Josh Hopkins, Rachel Kitson, Ian Merrill Peakes, Samantha Mathis","Will (Josh Hopkins), a charming 35-year-old Philadelphia ad man, heads to Lebanon, Pa. to bury his recently deceased father. He forms an unexpected friendship with CJ (Rachel Kitson), his ...","Arabic, English, Hebrew",USA,Other Win,47.0,6.3,499,1,44674.0,Sony Pictures Classics,43.0,big,0
183,The Last Song,2010,PG,107,Drama,Julie Anne Robinson,"Nicholas Sparks (screenplay), Jeff Van Wie (screenplay), Nicholas Sparks (book)","Miley Cyrus, Greg Kinnear, Bobby Coleman, Liam Hemsworth","A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",English,USA,Other Win,33.0,6.0,76967,1,42441000.0,Walt Disney Studios,4.0,small,0
186,Furry Vengeance,2010,PG,92,Comedy,Roger Kumble,"Michael Carnes, Josh Gilbert","Brendan Fraser, Ricky Garcia, Eugene Cordero, Patrice O'Neal","In the Oregon wilderness, a real-estate developer's new housing subdivision faces a unique group of protestors: local woodland creatures who don't want their homes disturbed.",English,"USA, United Arab Emirates",Other Win,23.0,3.8,15005,1,0.0,Artist View Entertainment,1.0,small,0
191,Date Night,2010,PG-13,88,Comedy,Shawn Levy,Josh Klausner,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson","In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous.","English, Hebrew",USA,Other Win,56.0,6.3,147258,1,98710290.0,20th Century Fox,133.0,big,0
193,Multiple Sarcasms,2010,R,97,Drama,Brooks Branch,"Brooks Branch, Linda Morris","Timothy Hutton, Mira Sorvino, Dana Delany, Mario Van Peebles","Gabriel is a man who on the surface has it all-successful professional life as an architect, a beautiful wife, Annie, and a devoted young daughter, Elizabeth. But slowly it dawns on him ...",English,USA,,35.0,4.9,585,1,0.0,Mac Releasing,2.0,small,0
197,Letters to God,2010,PG,110,Drama,"David Nixon, Patrick Doughtie(co-director)","Patrick Doughtie (story and screenplay), Art D'Alessandro, Sandra Thrift, Cullen Douglas","Lisa Curtis, Christopher Schmidt, Lyanna Tumaneng, Tanner Maguire","A young boy fighting cancer writes letters to God, touching lives in his neighborhood and community and inspiring hope among everyone he comes in contact. An unsuspecting substitute postman...","English, Italian",USA,Nomination,31.0,6.3,4509,1,1121000.0,Vivendi Entertainment,1.0,small,0
209,"Fanny, Annie & Danny",2010,Not Rated,82,Drama,Chris Brown,Chris Brown,"Jill Pixley, Carlye Pollack, Jonathan Leveck, Colette Keen","In Chris Brown's latest, finely-crafted feature, Fanny, Annie & Danny are dysfunctional adult siblings brought together by their horrific mother for the Christmas holiday. Like just about ...",English,USA,Other Win,56.0,6.3,100,1,0.0,Vanguard Cinema,1.0,small,0
212,Immigration Tango,2010,R,92,Comedy,David Burton Morris,"Martin L. Kelley (screenplay), Martin L. Kelley (story), Robert J. Lee (screenplay), Robert J. Lee (story), Todd Norwood (screenplay), Elika Portnoy (screenplay)","Elika Portnoy, McCaleb Burnett, Carlos Leon, Ashley Wolfe",An American couple and a foreign couple test the limits of friendship and love when they switch partners and get married for green cards.,English,USA,Other Win,28.0,3.5,307,1,23812.0,Roadside Attractions,39.0,big,0
213,Redemption Road,2010,PG-13,95,Drama,Mario Van Peebles,"Morgan Simpson (screenplay), George Richards (screenplay), Morgan Simpson (story)","Luke Perry, Michael Clarke Duncan, Taryn Manning, Tom Skerritt",Two men embark on a music-steeped journey through the American South.,English,USA,Nomination,44.0,5.7,485,1,25840.0,Freestyle Releasing,23.0,small,0
219,Shrek Forever After,2010,PG,93,Animation,Mike Mitchell,"William Steig (based upon the book by), Josh Klausner, Darren Lemke, Matt Shire (Punch-Up Writer), Alejandro Bien-Willner (punch-up writer)","Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.,English,USA,Other Win,58.0,6.3,172839,1,238319043.0,Paramount,4.0,small,0
220,The Losers,2010,PG-13,97,Action,Sylvain White,"Peter Berg (screenplay), James Vanderbilt (screenplay), Andy Diggle (comic book series), Jock (comic book series)","Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba","A CIA special forces team are betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",English,USA,Other Win,44.0,6.3,86994,1,23400000.0,Warner Bros. Pictures,138.0,big,0
221,5 Star Day,2010,Not Rated,97,Drama,Danny Buday,Danny Buday (screenplay),"Cam Gigandet, Guy Herbert, Will Yun Lee, Derek Shipp","One man's journey to disprove the theory of astrology leads him to answer some bigger question about life, love, fate and destiny.",English,USA,Other Win,41.0,5.8,685,1,0.0,Independent Pictures,31.0,big,0
222,Beware the Gonzo,2010,TV-14,94,Comedy,Bryan Goluboff,Bryan Goluboff,"Ezra Miller, Zoë Kravitz, Griffin Newman, Stefanie Y. Hong",A young muckraker decides to start his own underground newspaper at his high school.,English,USA,,36.0,6.4,1485,1,0.0,Tribecca Films,1.0,small,0
225,In My Sleep,2010,PG-13,104,Drama,Allen Wolf,Allen Wolf,"Philip Winchester, Tim Draxl, Lacey Chabert, Abigail Spencer","Marcus is a popular massage therapist who struggles with parasomnia, a severe sleepwalking disorder that causes him to do things in his sleep that he cannot remember the next day. When he ...",English,USA,Other Win,33.0,5.5,1921,1,0.0,Morning Star Pictures,1.0,small,0
226,The Back-up Plan,2010,PG-13,104,Comedy,Alan Poul,Kate Angelo,"Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Eric Christian Olsen","A woman conceives twins through artificial insemination, only to meet the man of her dreams on the very same day.",English,USA,Nomination,34.0,5.3,46824,1,37481242.0,CBS Films,17.0,small,0
227,Burning Palms,2010,R,105,Comedy,Christopher Landon,Christopher Landon,"Jamie Chung, Rosamund Pike, Dylan McDermott, Shannen Doherty","A subversive tale that interlaces five stories set in Los Angeles, where no taboo is left unexplored as each character careens toward a dark and often comic fate.",English,USA,,33.0,5.3,2565,1,0.0,New Films Cinema,1.0,small,0
228,The Chameleon,2010,R,106,Biography,Jean-Paul Salomé,"Natalie Carter, Jean-Paul Salomé, Christophe d'Antonio (book)","Marc-André Grondin, Famke Janssen, Ellen Barkin, Emilie de Ravin","An FBI Agent is hot on the tracks of Frédéric Fortin who has taken up the identity of a woman's long lost son, completely convincing the police and the boy's family of his identity.","English, French, Spanish","Canada, France, USA",,41.0,5.5,1810,1,0.0,Cinema Epoch,1.0,small,0
231,Littlerock,2010,Not Rated,83,Drama,Mike Ott,"Mike Ott, Atsuko Okatsuka (story), Mike Ott (story), Carl Bird McLaughlin (story)","Atsuko Okatsuka, Cory Zacharia, Rintaro Sawamoto, Roberto 'Sanz' Sanchez","A powerfully intimate drama that captures the fears and desires of a young Japanese woman lost in the U.S., 'Littlerock' is an affectingly authentic portrait of the bitter-sweet pain of ...","English, Japanese",USA,Other Win,66.0,6.3,432,1,15595.0,Variance Films,12.0,small,1
234,Every Day,2018,PG-13,97,Drama,Michael Sucsy,"Jesse Andrews (screenplay by), David Levithan (based on the novel by)","Angourie Rice, Justice Smith, Jeni Ross, Lucas Jade Zumann",A shy teenager falls for a spirit who wakes up in the body of a different person every morning.,English,USA,Nomination,52.0,6.4,15388,1,5260834.0,Orion Pictures,3.0,small,0
236,Snowmen,2010,PG,86,Comedy,Robert Kirbyson,Robert Kirbyson,"Bobby Coleman, Bobb'e J. Thompson, Christian Martyn, Josh Flitter",This is a humorous and heartfelt coming-of-age story about three unlikely heroes and the winter that changed their lives forever. After a surprising discovery in the snow catapults three ...,English,USA,Other Win,39.0,6.1,582,1,0.0,Cinedigm Entertainment,9.0,small,0
240,Spork,2010,TV-14,86,Comedy,J.B. Ghuman Jr.,J.B. Ghuman Jr.,"Savannah Stehlin, Rodney Eastman, Robert Bradvica, Kevin Chung","A colorful and foul-mouthed feature musical comedy. A film about a frizzy-haired, pink-cheeked outcast named Spork who is trying to navigate her way through the annals of junior high. When ...",English,USA,Other Win,54.0,6.9,939,1,0.0,Independent Pictures,31.0,big,0
241,Monogamy,2010,Not Rated,96,Drama,Dana Adam Shapiro,"Dana Adam Shapiro, Evan M. Wiener","Chris Messina, Rashida Jones, Meital Dohan, Zak Orth","The strained relationship of an engaged Brooklyn couple, Theo (Chris Messina) and Nat (Rashida Jones). Theo is bored with his job as a wedding photographer-the generic backgrounds, the ...",English,USA,Other Win,47.0,5.0,693,1,20202.0,Oscilloscope,1.0,small,0
